benchmark,solver,leaf_wrap,InD1,InD10,InD100,InD1000,OOD1,OOD10,OOD100,OOD1000,S,M,L
Uniform,Pointer,4,0.385749,0.380946,0.814985,0.807737,3.54694,3.53411,26.0192,25.4707,1.02138,0.528017,6.53998
Uniform,Array,4,0.203692,0.200906,0.456064,0.455588,2.08147,2.07134,14.2297,13.7212,1.13912,0.298445,2.44753
Uniform,Pointer,16,0.287538,0.286688,0.529362,0.526316,1.87313,1.8687,12.8806,13.7896,0.852104,0.341924,3.54106
Uniform,Array,16,0.299193,0.29107,0.593589,0.590084,2.10019,2.12909,12.5877,11.627,1.00458,0.258389,2.5549
Uniform,Pointer,32,0.298362,0.297257,0.527127,0.522205,1.69016,1.67782,10.6643,10.4731,0.882708,0.331682,3.26182
Uniform,Array,32,0.256837,0.251939,0.470178,0.470728,1.48104,1.46779,8.3898,8.0244,1.00305,0.243348,2.1658
Uniform,Pointer,64,0.340709,0.338049,0.578868,0.577079,1.69044,1.67938,9.53798,9.30473,0.964754,0.329415,2.96399
Uniform,Array,64,0.301219,0.295377,0.49739,0.498967,1.42201,1.40658,7.28462,6.87664,1.07242,0.255816,2.13039
Uniform,Pointer,128,0.580611,0.565927,0.927547,0.917703,2.51621,2.49125,13.0734,12.5555,1.11918,0.374234,3.48202
Uniform,Array,128,0.336493,0.333196,0.545525,0.546384,1.48217,1.45118,7.09198,6.94894,1.27552,0.260809,2.13502
Uniform,Pointer,512,0.440898,0.436771,0.715284,0.714053,1.93617,1.92064,9.93833,9.52625,1.12081,0.334795,2.78654
Uniform,Array,512,0.33385,0.326802,0.534891,0.537301,1.43826,1.41692,6.91775,6.71958,1.3103,0.264601,2.10975
Uniform,Pointer,1024,0.417282,0.411722,0.676081,0.673071,1.82874,1.80633,9.66323,9.42482,1.09928,0.337192,2.7097
Uniform,Array,1024,0.356489,0.350776,0.559205,0.55408,1.48506,1.46283,7.12189,6.91326,1.32001,0.263383,2.10455
Uniform_by_x,Pointer,4,0.16566,0.169699,0.483792,0.507154,2.55975,2.6457,19.9378,20.7602,0.966189,0.461272,7.10805
Uniform_by_x,Array,4,0.081347,0.0858367,0.270198,0.269132,1.4636,1.48922,10.5605,10.7568,1.14431,0.251681,2.39296
Uniform_by_x,Pointer,16,0.142898,0.147253,0.335435,0.339665,1.44339,1.46013,10.9306,10.9608,0.913519,0.288922,3.72141
Uniform_by_x,Array,16,0.093349,0.110843,0.280471,0.301643,1.25956,1.38584,9.10347,9.82656,0.996284,0.219374,2.81416
Uniform_by_x,Pointer,32,0.15275,0.155245,0.325086,0.329696,1.28756,1.28376,9.20975,9.2629,0.941096,0.267958,3.30106
Uniform_by_x,Array,32,0.088378,0.114888,0.219602,0.264904,0.923133,1.10382,6.28275,7.43285,0.976761,0.208293,2.68413
Uniform_by_x,Pointer,64,0.178151,0.174812,0.356051,0.34065,1.19093,1.18076,7.7958,7.81036,0.919238,0.267897,2.84555
Uniform_by_x,Array,64,0.119471,0.128242,0.244103,0.265997,0.874435,0.929685,5.9113,6.06043,1.04158,0.210279,2.17371
Uniform_by_x,Pointer,128,0.207865,0.20713,0.386262,0.392012,1.23517,1.24234,7.48757,7.61662,0.945968,0.266358,3.03956
Uniform_by_x,Array,128,0.146456,0.139788,0.280441,0.272336,0.909315,0.884307,5.72342,5.69132,1.11982,0.208753,2.16558
Uniform_by_x,Pointer,512,0.193101,0.202363,0.360605,0.38311,1.1671,1.21183,7.17266,7.46617,0.920443,0.255412,2.75217
Uniform_by_x,Array,512,0.151067,0.14247,0.283944,0.254311,0.915598,0.877365,5.81838,5.61054,1.12685,0.21211,2.1648
Uniform_by_x,Pointer,1024,0.19645,0.195844,0.363099,0.373422,1.15121,1.17703,7.24136,7.40851,0.932612,0.25623,2.78505
Uniform_by_x,Array,1024,0.15156,0.141539,0.273602,0.267681,0.926124,0.873775,5.76529,5.64624,1.12517,0.21184,2.15955
Varden,Pointer,16,0.0570143,0.060888,0.12262,0.129986,0.58243,0.60655,5.64499,5.89232,0.70361,0.227965,3.59979
Varden,Array,16,0.0461787,0.045281,0.0935123,0.097323,0.520495,0.522532,5.2188,5.21837,0.824988,0.179541,2.61069
Varden,Pointer,32,0.0550697,0.061358,0.119167,0.125008,0.543196,0.5569,5.16748,5.28852,0.690971,0.219389,3.1129
Varden,Array,32,0.0454927,0.0480593,0.097151,0.096552,0.495879,0.508944,4.94606,4.99401,0.822909,0.172397,2.46977
Varden,Pointer,64,0.0582193,0.0609437,0.123559,0.134903,0.539709,0.55056,5.02466,5.0643,0.770493,0.202902,2.83703
Varden,Array,64,0.0429817,0.045792,0.105507,0.110981,0.506141,0.51816,4.90848,4.94121,0.901258,0.172467,2.17549
Varden,Pointer,128,0.0583133,0.0613673,0.125453,0.136552,0.539427,0.561067,4.96908,5.01735,0.776158,0.211903,3.02268
Varden,Array,128,0.045926,0.0488767,0.110978,0.123612,0.514868,0.546304,4.94254,4.99124,0.959601,0.168861,2.13869
Varden,Pointer,512,0.0549217,0.0627583,0.125409,0.140692,0.541709,0.561398,4.96146,5.02311,0.779444,0.198664,2.62782
Varden,Array,512,0.04581,0.0502763,0.113911,0.123396,0.515811,0.547628,4.92923,4.99342,0.968425,0.171658,2.13269
Varden,Pointer,1024,0.054508,0.061867,0.124609,0.138352,0.54115,0.563534,4.95378,5.0168,0.777877,0.203664,2.71271
Varden,Array,1024,0.0456883,0.050322,0.110613,0.12253,0.521756,0.537245,4.9051,4.99146,0.958397,0.169287,2.1505
