benchmark,solver,leaf_wrap,time
Uniform,Array-tree,2,0.85195
Uniform,Pointer-tree,2,1.60507
Uniform,Par-for,2,0.266727
Uniform,Array-tree,4,0.553149
Uniform,Pointer-tree,4,1.17005
Uniform,Par-for,4,0.228172
Uniform,Array-tree,16,0.391632
Uniform,Pointer-tree,16,0.504911
Uniform,Par-for,16,0.286376
Uniform,Array-tree,32,0.299339
Uniform,Pointer-tree,32,0.425497
Uniform,Par-for,32,0.276663
Uniform,Array-tree,64,0.277608
Uniform,Pointer-tree,64,0.380083
Uniform,Par-for,64,0.242524
Uniform,Array-tree,128,0.284261
Uniform,Pointer-tree,128,0.501279
Uniform,Par-for,128,0.234249
Uniform,Array-tree,512,0.313489
Uniform,Pointer-tree,512,0.426448
Uniform,Par-for,512,0.247706
Uniform,Array-tree,1024,0.274775
Uniform,Pointer-tree,1024,0.374538
Uniform,Par-for,1024,0.230311
Uniform_by_x,Array-tree,4,0.531866
Uniform_by_x,Pointer-tree,4,1.11822
Uniform_by_x,Par-for,4,0.227072
Uniform_by_x,Array-tree,16,0.445424
Uniform_by_x,Pointer-tree,16,0.497859
Uniform_by_x,Par-for,16,0.287525
Uniform_by_x,Array-tree,32,0.352433
Uniform_by_x,Pointer-tree,32,0.426988
Uniform_by_x,Par-for,32,0.293145
Uniform_by_x,Array-tree,64,0.27673
Uniform_by_x,Pointer-tree,64,0.376383
Uniform_by_x,Par-for,64,0.255257
Uniform_by_x,Array-tree,128,0.25382
Uniform_by_x,Pointer-tree,128,0.404147
Uniform_by_x,Par-for,128,0.234796
Uniform_by_x,Array-tree,512,0.289646
Uniform_by_x,Pointer-tree,512,0.422129
Uniform_by_x,Par-for,512,0.244112
Uniform_by_x,Array-tree,1024,0.316814
Uniform_by_x,Pointer-tree,1024,0.360349
Uniform_by_x,Par-for,1024,0.240574
Varden,Array-tree,16,0.438225
Varden,Pointer-tree,16,0.501333
Varden,Par-for,16,0.286433
Varden,Array-tree,32,0.359505
Varden,Pointer-tree,32,0.426476
Varden,Par-for,32,0.302667
Varden,Array-tree,64,0.266451
Varden,Pointer-tree,64,0.377898
Varden,Par-for,64,0.249313
Varden,Array-tree,128,0.279883
Varden,Pointer-tree,128,0.405509
Varden,Par-for,128,0.236809
Varden,Array-tree,512,0.278664
Varden,Pointer-tree,512,0.429558
Varden,Par-for,512,0.2784
Varden,Array-tree,1024,0.276367
Varden,Pointer-tree,1024,0.377239
Varden,Par-for,1024,0.280163
