benchmark,order,leaf_wrap,time
Uniform,RAND,1,11.3406
Uniform,SORT,1,11.3027
Uniform,RAND,2,9.15131
Uniform,SORT,2,9.17804
Uniform,RAND,4,8.83482
Uniform,SORT,4,8.88562
Uniform,RAND,16,8.75272
Uniform,SORT,16,8.9956
Uniform,RAND,32,9.81592
Uniform,SORT,32,9.82182
Uniform,RAND,64,13.5711
Uniform,SORT,64,11.3168
Uniform,RAND,128,17.471
Uniform,SORT,128,11.966
Uniform,RAND,512,46.6601
Uniform,SORT,512,14.2263
Uniform,RAND,1024,82.6195
Uniform,SORT,1024,14.9024
Varden,RAND,1,11.2744
Varden,SORT,1,11.2481
Varden,RAND,2,9.16892
Varden,SORT,2,9.13923
Varden,RAND,4,8.83733
Varden,SORT,4,8.78979
Varden,RAND,16,8.66154
Varden,SORT,16,8.96032
Varden,RAND,32,9.75252
Varden,SORT,32,9.77333
Varden,RAND,64,12.4228
Varden,SORT,64,10.8509
Varden,RAND,128,17.2958
Varden,SORT,128,11.9067
Varden,RAND,512,46.6413
Varden,SORT,512,15.2446
Varden,RAND,1024,82.0907
Varden,SORT,1024,15.2078
