solver,benchType,build,depth,insert,delete,core
test,ss_varden,275.31,25.524,3.73722,2.86519,1
test,ss_varden,131.473,25.524,1.78092,1.35853,2
test,ss_varden,69.1644,25.524,0.943198,0.721737,4
test,ss_varden,35.8207,25.524,0.496417,0.384683,8
test,ss_varden,19.5699,25.524,0.296121,0.217054,16
test,ss_varden,15.434,25.524,0.22107,0.16753,24
test,ss_varden,8.25527,25.524,0.155696,0.113288,48
test,ss_varden,6.88122,25.524,0.10816,0.091288,96
test,ss_varden,7.66735,25.524,0.147532,0.07578,192
test,uniform,258.498,25.524,5.98678,6.61597,1
test,uniform,145.941,25.5247,3.79969,4.13907,2
test,uniform,77.0842,25.5247,1.96263,2.20929,4
test,uniform,39.7008,25.5247,1.00678,1.14662,8
test,uniform,21.4455,25.5247,0.528379,0.6117,16
test,uniform,16.4157,25.5247,0.379458,0.451058,24
test,uniform,8.67472,25.5247,0.200062,0.245508,48
test,uniform,5.42721,25.5247,0.128428,0.166931,96
test,uniform,6.91641,25.5247,0.100924,0.126237,192
zdtree,ss_varden,307.729,35,10.3709,12.4553,1
zdtree,ss_varden,159.741,35,4.79138,4.87425,2
zdtree,ss_varden,81.3138,35,2.42161,2.46638,4
zdtree,ss_varden,61.4728,35,1.9504,2.64488,8
zdtree,ss_varden,30.1488,35,1.03017,1.55835,16
zdtree,ss_varden,25.9836,35,0.495315,0.48507,24
zdtree,ss_varden,10.9488,35,0.274891,0.267468,48
zdtree,ss_varden,7.10963,35,0.162123,0.152395,96
zdtree,ss_varden,6.46818,35,0.146978,0.132273,192
zdtree,uniform,324.315,27,35.0938,37.1345,1
zdtree,uniform,187.577,27,16.8861,17.941,2
zdtree,uniform,97.6611,27,8.48682,9.11222,4
zdtree,uniform,81.2007,27,8.22374,4.7707,8
zdtree,uniform,33.1674,27,2.23355,2.5234,16
zdtree,uniform,28.7307,27,1.57253,1.82298,24
zdtree,uniform,12.1049,27,0.818846,0.941613,48
zdtree,uniform,7.77576,27,0.448558,0.514315,96
zdtree,uniform,6.66472,27,0.375707,0.41623,192
cgal,ss_varden,1495.02,35,2428.13,-1,1
cgal,ss_varden,1225.61,35,1981.47,-1,2
cgal,ss_varden,816.14,35,1360.33,-1,4
cgal,ss_varden,600.128,35,1052.74,-1,8
cgal,ss_varden,492.6,35,898.172,-1,16
cgal,ss_varden,465.104,35,865.617,-1,24
cgal,ss_varden,403.731,35,784.562,-1,48
cgal,ss_varden,384.197,35,745.701,-1,96
cgal,ss_varden,396.03,35,731.168,-1,192
cgal,uniform,9098.14,31,10166.8,-1,1
cgal,uniform,5608.68,31,6553.04,-1,2
cgal,uniform,3337.01,31,4269.17,-1,4
cgal,uniform,2251.51,31,3397.09,-1,8
cgal,uniform,1656.45,31,2924.19,-1,16
cgal,uniform,1497.78,31,2783.66,-1,24
cgal,uniform,1159.57,31,1987.79,-1,48
cgal,uniform,1066.14,31,1940.17,-1,96
cgal,uniform,1063.81,31,2033.11,-1,192
