benchmark,solver,threads,build,insert,delete
Uniform,PTree-H,1,274.441,4.27118,6.0512
Uniform,PTree-H,4,87.0163,1.43569,1.87185
Uniform,PTree-H,16,20.5554,0.370059,0.65149
Uniform,PTree-H,32,10.369,0.189325,0.345001
Uniform,PTree-H,64,5.45721,0.099944,0.194626
Uniform,PTree-H,112,3.99097,0.0690835,0.178286
Uniform,PTree-H,224,3.30875,0.0556895,0.161897
Uniform,CPAM-H,1,339.846,19.2195,18.7477
Uniform,CPAM-H,4,108.622,5.38477,5.46031
Uniform,CPAM-H,16,32.391,1.66693,1.70553
Uniform,CPAM-H,32,17.7779,1.06037,1.07917
Uniform,CPAM-H,64,10.4221,0.611698,0.622453
Uniform,CPAM-H,112,10.4856,0.613881,0.618699
Uniform,CPAM-H,224,11.5923,0.599136,0.593379
Uniform,KdTree,1,221.559,5.2387,5.24781
Uniform,KdTree,4,66.9285,1.70293,1.71865
Uniform,KdTree,16,16.9666,0.561514,0.626709
Uniform,KdTree,32,8.66606,0.300824,0.333526
Uniform,KdTree,64,4.66168,0.162835,0.179542
Uniform,KdTree,112,3.89007,0.138218,0.156604
Uniform,KdTree,224,3.60524,0.127918,0.136349
Uniform,OrthTree,1,171.682,5.22146,5.50216
Uniform,OrthTree,4,55.2684,1.70004,1.79071
Uniform,OrthTree,16,13.7199,0.555951,0.615787
Uniform,OrthTree,32,7.08534,0.299982,0.344996
Uniform,OrthTree,64,3.86682,0.156047,0.179876
Uniform,OrthTree,112,3.34989,0.139799,0.1539
Uniform,OrthTree,224,3.33232,0.116529,0.117066
Uniform_by_x,PTree-H,1,231.188,2.45436,1.73565
Uniform_by_x,PTree-H,4,71.6143,0.774607,0.471023
Uniform_by_x,PTree-H,16,17.0015,0.185441,0.126449
Uniform_by_x,PTree-H,32,8.71861,0.097684,0.06625
Uniform_by_x,PTree-H,64,4.69997,0.0529295,0.0368295
Uniform_by_x,PTree-H,112,3.64443,0.043057,0.029662
Uniform_by_x,PTree-H,224,3.30364,0.0360145,0.0261995
Uniform_by_x,CPAM-H,1,308.049,3.16155,2.67388
Uniform_by_x,CPAM-H,4,99.7279,1.01285,0.782128
Uniform_by_x,CPAM-H,16,29.5275,0.259665,0.250183
Uniform_by_x,CPAM-H,32,16.5695,0.147322,0.140039
Uniform_by_x,CPAM-H,64,9.70774,0.0904825,0.088255
Uniform_by_x,CPAM-H,112,9.92476,0.10106,0.12061
Uniform_by_x,CPAM-H,224,10.0527,0.096287,0.11915
Uniform_by_x,KdTree,1,204.232,2.18252,2.34546
Uniform_by_x,KdTree,4,59.1826,0.630404,0.676772
Uniform_by_x,KdTree,16,14.9864,0.164015,0.191186
Uniform_by_x,KdTree,32,7.73828,0.0879385,0.109201
Uniform_by_x,KdTree,64,4.68568,0.053656,0.090148
Uniform_by_x,KdTree,112,5.17671,0.058462,0.080583
Uniform_by_x,KdTree,224,4.86093,0.055413,0.088788
Uniform_by_x,OrthTree,1,159.463,1.50312,0.795595
Uniform_by_x,OrthTree,4,48.4134,0.470308,0.236135
Uniform_by_x,OrthTree,16,12.1662,0.121855,0.074634
Uniform_by_x,OrthTree,32,6.44159,0.06825,0.044804
Uniform_by_x,OrthTree,64,3.95385,0.0463235,0.032113
Uniform_by_x,OrthTree,112,5.48606,0.054854,0.0382915
Uniform_by_x,OrthTree,224,4.7469,0.050729,0.035385
Varden,PTree-H,1,207.981,2.15717,1.76248
Varden,PTree-H,4,62.3264,0.543049,0.475507
Varden,PTree-H,16,15.0642,0.136186,0.129981
Varden,PTree-H,32,7.83994,0.073579,0.0676925
Varden,PTree-H,64,4.2063,0.040597,0.036825
Varden,PTree-H,112,3.26778,0.032914,0.0279555
Varden,PTree-H,224,3.06021,0.0269395,0.025768
Varden,CPAM-H,1,294.528,2.60799,2.56338
Varden,CPAM-H,4,95.8082,0.850812,0.758808
Varden,CPAM-H,16,29.0815,0.224817,0.247803
Varden,CPAM-H,32,16.2095,0.12983,0.139748
Varden,CPAM-H,64,9.52085,0.0813,0.088355
Varden,CPAM-H,112,9.59429,0.104701,0.112679
Varden,CPAM-H,224,9.53323,0.089831,0.104819
Varden,KdTree,1,207.853,3.39631,2.09083
Varden,KdTree,4,59.9145,1.00979,0.620766
Varden,KdTree,16,15.1288,0.268539,0.174671
Varden,KdTree,32,7.9088,0.147358,0.100278
Varden,KdTree,64,4.69264,0.103157,0.0665835
Varden,KdTree,112,6.05009,0.107061,0.0717145
Varden,KdTree,224,5.94439,0.108308,0.069206
Varden,OrthTree,1,270.997,2.78906,1.79493
Varden,OrthTree,4,78.6392,0.830102,0.528435
Varden,OrthTree,16,20.2021,0.230157,0.169441
Varden,OrthTree,32,10.9138,0.137691,0.11027
Varden,OrthTree,64,8.04065,0.104268,0.0913305
Varden,OrthTree,112,13.1326,0.123142,0.111308
Varden,OrthTree,224,11.5881,0.116511,0.103106
