"Benchmark","Solver","Build","IND10NN","OOD10NN","Count","List","Ins10%","Ins1%","Ins0.1%","Ins0.01%","IND10NN","OOD10NN","Count","List","Del10%","Del1%","Del0.1%","Del0.01%","IND10NN","OOD10NN","Count","List"
"Uniform","P-Orth",5.18126,0.92405,0.903781,0.700518,1.92985,5.69043,12.5651,24.1359,35.2441,0.988152,0.967135,0.715273,1.7996,5.93175,12.4676,23.7899,35.4223,1.07195,1.06168,0.964317,2.24805
"Uniform","ZdTree",7.76912,1.08138,1.04876,1.06977,2.34622,6.51567,15.4864,28.5944,53.385,1.04125,1.03464,0.990296,2.3389,7.06992,18.0297,32.9148,54.2007,0.520408,0.520342,0.137346,1.48146
"Uniform","SPaC-H",4.07896,7.34171,7.28812,0.968298,1.92839,4.70357,7.09149,14.6981,28.7588,7.01463,7.0402,1.00111,2.07453,5.77592,17.5764,33.4212,49.8505,7.05972,7.08967,0.993119,2.05435
"Uniform","PkdTree",4.70372,0.916236,0.893673,0.75771,1.79549,5.73517,13.4137,24.4664,36.8847,0.983454,0.935004,0.771559,1.7671,5.41072,13.0333,25.8712,61.2856,0.91581,0.892554,0.771838,1.78617
"Sweepline","P-Orth",6.40527,0.637315,1.3729,0.877259,2.02685,6.4355,6.33182,6.57558,19.6188,0.666349,1.96788,0.82957,1.79595,4.30284,5.14677,5.92724,21.1376,0.665502,1.98281,0.830584,1.80206
"Sweepline","ZdTree",6.64477,0.726489,0.346653,1.16713,2.40801,4.41005,4.45672,6.97994,22.3448,0.706093,0.347025,0.986789,2.26476,3.55526,4.37841,11.7372,28.0871,0.31809,0.308369,0.120292,1.41515
"Sweepline","SPaC-H",3.90261,3.84001,1.03722,1.13193,2.01536,3.75458,4.02806,5.80932,13.0372,4.66092,1.56952,1.14868,2.17665,3.01168,3.29901,6.12807,20.5305,3.85801,1.25592,1.13848,2.15589
"Sweepline","PkdTree",5.5667,0.603384,1.83445,0.853885,1.87141,16.4138,21.074,28.4632,69.0085,1.00982,6.70701,1.0386,1.97532,14.6196,28.5036,37.9709,65.7689,0.646929,0.345893,0.867453,1.83011
"Varden","P-Orth",7.46664,0.256798,0.214443,0.552413,1.82688,6.71711,8.87526,11.4551,18.9518,0.262872,0.224249,0.593096,1.70492,6.03761,7.78392,9.70037,17.2868,0.263613,0.238109,0.63968,1.81869
"Varden","ZdTree",6.7421,0.243907,0.245776,0.876549,2.2747,5.66162,6.86679,9.20491,19.2103,0.244615,0.249634,0.746928,2.11739,6.82548,14.8842,21.4996,32.606,0.20559,0.203238,0.126921,1.4741
"Varden","SPaC-H",3.37178,2.33086,1.58907,0.833065,1.8417,3.80476,4.3973,5.66359,10.7708,2.51461,1.58897,0.846501,1.98213,4.04898,5.32298,6.66105,11.3309,1.87056,1.29496,0.835894,1.9782
"Varden","PkdTree",7.03882,0.151562,0.158965,0.598971,1.71948,11.7783,16.3311,19.6097,33.8222,0.156789,0.166537,0.628474,1.69835,6.2027,8.93717,12.048,23.7149,0.159637,0.163639,0.612746,1.68671
